filename,width,height,class,xmin,ymin,xmax,ymax
Numan_(470).jpg,1080,1920,suv,3,475,335,873
Numan_(470).jpg,1080,1920,three wheelers (CNG),778,595,838,668
Numan_(470).jpg,1080,1920,three wheelers (CNG),885,596,941,666
Numan_(470).jpg,1080,1920,three wheelers (CNG),955,597,1003,663
Numan_(470).jpg,1080,1920,car,731,606,782,656
Numan_(470).jpg,1080,1920,car,843,606,889,647
Pias (222).jpg,1280,720,pickup,282,301,962,720
Pias (222).jpg,1280,720,three wheelers (CNG),1073,373,1280,514
Pias (222).jpg,1280,720,rickshaw,905,378,1118,530
Pias (222).jpg,1280,720,rickshaw,131,425,229,539
Pias (222).jpg,1280,720,rickshaw,216,412,291,538
Pias (222).jpg,1280,720,car,774,360,952,447
Pias (222).jpg,1280,720,car,1,417,29,456
Dipto_759.jpg,352,462,three wheelers (CNG),159,286,203,335
Navid_40.jpg,1920,1080,motorbike,706,696,1249,1080
Navid_40.jpg,1920,1080,bus,1317,2,1917,1080
Navid_40.jpg,1920,1080,rickshaw,1131,317,1351,670
Navid_40.jpg,1920,1080,rickshaw,794,282,968,511
Navid_40.jpg,1920,1080,minivan,49,284,643,841
Navid_40.jpg,1920,1080,bus,39,221,161,284
Navid_40.jpg,1920,1080,rickshaw,578,288,704,392
Navid_40.jpg,1920,1080,pickup,19,268,147,460
Navid_40.jpg,1920,1080,pickup,557,280,720,373
Navid_40.jpg,1920,1080,motorbike,478,292,521,374
Navid_40.jpg,1920,1080,suv,535,366,798,686
Navid_40.jpg,1920,1080,car,357,326,563,453
Navid_40.jpg,1920,1080,rickshaw,379,276,451,337
Numan_(49).jpg,1920,1080,car,1248,630,1420,753
Numan_(49).jpg,1920,1080,rickshaw,1119,622,1200,743
Numan_(49).jpg,1920,1080,bus,1015,556,1102,655
Numan_(49).jpg,1920,1080,rickshaw,746,606,875,702
Numan_(49).jpg,1920,1080,car,205,662,671,819
Numan_(49).jpg,1920,1080,car,1154,609,1226,663
Numan_(49).jpg,1920,1080,taxi,1207,593,1254,637
Numan_(49).jpg,1920,1080,car,1126,558,1187,620
Numan_(49).jpg,1920,1080,car,1381,599,1468,646
Numan_(49).jpg,1920,1080,car,1252,591,1294,623
Numan_(49).jpg,1920,1080,rickshaw,822,611,940,690
Numan_(49).jpg,1920,1080,suv,945,598,979,625
Numan_(49).jpg,1920,1080,car,1627,618,1805,693
Dipto_ 61.jpg,1920,1080,policecar,586,337,750,493
Dipto_ 61.jpg,1920,1080,motorbike,882,379,917,419
Dipto_ 61.jpg,1920,1080,car,843,365,911,410
Dipto_ 61.jpg,1920,1080,pickup,875,340,948,395
Dipto_ 61.jpg,1920,1080,pickup,1404,231,1532,381
Dipto_ 61.jpg,1920,1080,bus,1074,209,1251,419
Dipto_ 61.jpg,1920,1080,pickup,457,395,589,462
Pias (470).jpg,1280,720,truck,325,378,612,568
Pias (470).jpg,1280,720,truck,639,149,1052,551
Numan_(427).jpg,1080,1920,suv,702,802,850,903
Numan_(427).jpg,1080,1920,bicycle,830,811,888,983
Numan_(427).jpg,1080,1920,three wheelers (CNG),962,818,1034,903
Numan_(427).jpg,1080,1920,car,889,818,970,879
Numan_(427).jpg,1080,1920,car,1045,831,1079,866
Dipto_417.jpg,1920,1080,car,1145,609,1243,682
Dipto_417.jpg,1920,1080,bus,994,538,1085,645
Navid_415.jpg,1080,1920,car,450,943,591,1057
Navid_415.jpg,1080,1920,motorbike,394,933,438,1018
Navid_415.jpg,1080,1920,rickshaw,311,922,366,1018
Navid_415.jpg,1080,1920,car,980,946,1080,1084
Navid_415.jpg,1080,1920,suv,627,851,1010,1232
Pias (244).jpg,854,480,truck,640,322,854,478
Pias (244).jpg,854,480,car,516,315,670,381
Pias (244).jpg,854,480,car,414,308,518,353
Pias (244).jpg,854,480,car,1,310,203,479
Pias (244).jpg,854,480,car,216,294,263,332
Pias (244).jpg,854,480,car,13,297,82,330
Pias (244).jpg,854,480,motorbike,245,310,291,382
Pias (244).jpg,854,480,motorbike,175,296,184,310
Pias (244).jpg,854,480,three wheelers (CNG),109,287,157,314
Pias (244).jpg,854,480,three wheelers (CNG),180,288,194,305
Pias (244).jpg,854,480,three wheelers (CNG),207,289,225,310
Pias (244).jpg,854,480,minivan,298,283,379,347
Pias (244).jpg,854,480,three wheelers (CNG),401,302,437,333
Pias (244).jpg,854,480,minivan,582,308,695,359
Pias (244).jpg,854,480,bus,677,287,854,331
Pias (244).jpg,854,480,bus,489,284,669,318
Pias (476).jpg,1280,720,pickup,816,391,856,435
Pias (476).jpg,1280,720,truck,634,384,655,412
Pias (184).jpg,854,480,car,389,306,853,479
Pias (184).jpg,854,480,car,214,295,470,402
Pias (184).jpg,854,480,car,534,272,651,312
Pias (184).jpg,854,480,car,30,291,207,395
Pias (184).jpg,854,480,car,224,275,279,293
Pias (184).jpg,854,480,car,226,283,307,312
Pias (184).jpg,854,480,car,43,281,83,309
Pias (184).jpg,854,480,minivan,1,268,47,335
Pias (184).jpg,854,480,van,104,269,227,343
Pias (184).jpg,854,480,suv,312,269,433,306
Pias (184).jpg,854,480,suv,668,258,787,302
Numan_(314).jpg,1920,1080,bus,111,241,851,980
Numan_(314).jpg,1920,1080,motorbike,1259,682,1411,984
Numan_(314).jpg,1920,1080,car,977,730,1152,848
Numan_(314).jpg,1920,1080,car,895,730,966,795
Numan_(314).jpg,1920,1080,van,1111,707,1223,810
Numan_(314).jpg,1920,1080,bus,930,688,1001,762
Numan_(314).jpg,1920,1080,bus,1198,689,1308,763
Numan_(314).jpg,1920,1080,pickup,1639,617,1917,971
Numan_(314).jpg,1920,1080,suv,1381,715,1526,846
Numan_(314).jpg,1920,1080,bus,1368,671,1595,777
Numan_(314).jpg,1920,1080,bus,1598,680,1747,797
Dipto_	214.jpg,1920,1080,motorbike,1377,392,1509,576
Dipto_	214.jpg,1920,1080,motorbike,689,402,828,688
Dipto_	214.jpg,1920,1080,motorbike,387,433,601,774
Dipto_	214.jpg,1920,1080,motorbike,209,472,1920,1069
Dipto_	214.jpg,1920,1080,motorbike,1098,454,1147,499
Dipto_	214.jpg,1920,1080,auto rickshaw,878,412,972,542
Dipto_	214.jpg,1920,1080,auto rickshaw,965,435,1002,491
Dipto_	214.jpg,1920,1080,auto rickshaw,1006,442,1026,478
Pias (358).jpg,640,360,three wheelers (CNG),223,179,355,318
